Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1784052722,13.25,13.25,0.00,0.00,0.00
1784052723,12.97,12.97,0.00,0.00,0.00
1784052724,13.02,13.02,0.00,0.00,0.00
1784052725,13.12,13.12,0.00,0.06,0.00
