__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_221_repetition_3,DONE,zstd,zstd/immer--immer-11.1.8.tar.zst,0.39,0.04,0.005649734
run_59_repetition_17,DONE,npm,npm/typescript--typescript-6.0.3.tgz,11.17,1.33,0.175071867
run_37_repetition_11,DONE,npm,npm/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0.tgz,0.71,0.08,0.010925505
run_96_repetition_6,DONE,xz,xz/jiti--jiti-2.7.0.tar.xz,2.16,0.25,0.033419246
run_304_repetition_17,DONE,brotli,brotli/style-loader--style-loader-4.0.0.tar.br,0.3,0.03,0.004271395
run_305_repetition_25,DONE,brotli,brotli/tailwindcss--tailwindcss-4.3.0.tar.br,0.48,0.06,0.007389031
run_267_repetition_19,DONE,brotli,brotli/aws-sdk--aws-sdk-2.1693.0.tar.br,13.14,1.61,0.204087217
run_299_repetition_27,DONE,brotli,brotli/resize-observer-polyfill--resize-observer-polyfill-1.5.1.tar.br,0.32,0.04,0.004762043
run_255_repetition_1,DONE,brotli,brotli/@eslint__eslintrc--eslintrc-3.3.5.tar.br,0.42,0.05,0.006261999
run_125_repetition_4,DONE,xz,xz/xml2js--xml2js-0.6.2.tar.xz,4.09,0.48,0.064133292
run_164_repetition_23,DONE,zopfli,zopfli/node-notifier--node-notifier-10.0.1.tgz,3.43,0.4,0.054076271
run_198_repetition_8,DONE,zstd,zstd/@radix-ui__primitive--primitive-1.1.3.tar.zst,0.23,0.03,0.003413511
run_20_repetition_12,DONE,npm,npm/linkify-it--linkify-it-5.0.1.tgz,0.39,0.05,0.005449452
run_68_repetition_10,DONE,xz,xz/@modelcontextprotocol__sdk--sdk-1.29.0.tar.xz,2.37,0.28,0.037130063
run_15_repetition_9,DONE,npm,npm/html-escaper--html-escaper-3.0.3.tgz,0.36,0.04,0.005015432
run_196_repetition_27,DONE,zstd,zstd/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tar.zst,1.62,0.2,0.024505034
run_253_repetition_0,DONE,brotli,brotli/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.br,0.19,0.02,0.00364131
run_68_repetition_17,DONE,xz,xz/@modelcontextprotocol__sdk--sdk-1.29.0.tar.xz,2.36,0.28,0.03659722
run_180_repetition_10,DONE,zopfli,zopfli/tar--tar-7.5.15.tgz,1.59,0.19,0.024634556
run_256_repetition_7,DONE,brotli,brotli/@ethersproject__abstract-signer--abstract-signer-5.8.0.tar.br,0.32,0.04,0.004604909
