PackageName,Status,InputPath,OutputPath,OutputBytes,ElapsedMilliseconds
@types__qs--qs-6.15.1,repacked,../data/unpacked_2500/@types__qs--qs-6.15.1,../data/repacked_xz_2500/@types__qs--qs-6.15.1.tar.xz,2640,8.895332997781225
@types__range-parser--range-parser-1.2.7,repacked,../data/unpacked_2500/@types__range-parser--range-parser-1.2.7,../data/repacked_xz_2500/@types__range-parser--range-parser-1.2.7.tar.xz,2032,7.7162079978734255
@types__react--react-19.2.15,repacked,../data/unpacked_2500/@types__react--react-19.2.15,../data/repacked_xz_2500/@types__react--react-19.2.15.tar.xz,35956,66.27516700245906
@types__react-dom--react-dom-19.2.3,repacked,../data/unpacked_2500/@types__react-dom--react-dom-19.2.3,../data/repacked_xz_2500/@types__react-dom--react-dom-19.2.3.tar.xz,7424,17.095749994041398
@types__react-transition-group--react-transition-group-4.4.12,repacked,../data/unpacked_2500/@types__react-transition-group--react-transition-group-4.4.12,../data/repacked_xz_2500/@types__react-transition-group--react-transition-group-4.4.12.tar.xz,5836,13.794334008707665
@types__resolve--resolve-1.20.6,repacked,../data/unpacked_2500/@types__resolve--resolve-1.20.6,../data/repacked_xz_2500/@types__resolve--resolve-1.20.6.tar.xz,3312,9.725167008582503
@types__responselike--responselike-1.0.3,repacked,../data/unpacked_2500/@types__responselike--responselike-1.0.3,../data/repacked_xz_2500/@types__responselike--responselike-1.0.3.tar.xz,2008,8.177166993846186
@types__retry--retry-0.12.5,repacked,../data/unpacked_2500/@types__retry--retry-0.12.5,../data/repacked_xz_2500/@types__retry--retry-0.12.5.tar.xz,3016,8.989666996058077
@types__semver--semver-7.7.1,repacked,../data/unpacked_2500/@types__semver--semver-7.7.1,../data/repacked_xz_2500/@types__semver--semver-7.7.1.tar.xz,6420,23.475542009691708
@types__send--send-1.2.1,repacked,../data/unpacked_2500/@types__send--send-1.2.1,../data/repacked_xz_2500/@types__send--send-1.2.1.tar.xz,3472,10.044000009656884
@types__serve-index--serve-index-1.9.4,repacked,../data/unpacked_2500/@types__serve-index--serve-index-1.9.4,../data/repacked_xz_2500/@types__serve-index--serve-index-1.9.4.tar.xz,1992,8.150958004989661
@types__serve-static--serve-static-2.2.0,repacked,../data/unpacked_2500/@types__serve-static--serve-static-2.2.0,../data/repacked_xz_2500/@types__serve-static--serve-static-2.2.0.tar.xz,3508,9.214207995682955
@types__sockjs--sockjs-0.3.36,repacked,../data/unpacked_2500/@types__sockjs--sockjs-0.3.36,../data/repacked_xz_2500/@types__sockjs--sockjs-0.3.36.tar.xz,2076,8.083875000011176
@types__stack-utils--stack-utils-2.0.3,repacked,../data/unpacked_2500/@types__stack-utils--stack-utils-2.0.3,../data/repacked_xz_2500/@types__stack-utils--stack-utils-2.0.3.tar.xz,2060,8.36691600852646
@types__testing-library__jest-dom--testing-library__jest-dom-6.0.0,repacked,../data/unpacked_2500/@types__testing-library__jest-dom--testing-library__jest-dom-6.0.0,../data/repacked_xz_2500/@types__testing-library__jest-dom--testing-library__jest-dom-6.0.0.tar.xz,1244,7.438250002451241
@types__triple-beam--triple-beam-1.3.5,repacked,../data/unpacked_2500/@types__triple-beam--triple-beam-1.3.5,../data/repacked_xz_2500/@types__triple-beam--triple-beam-1.3.5.tar.xz,1728,7.835541997337714
@types__trusted-types--trusted-types-2.0.7,repacked,../data/unpacked_2500/@types__trusted-types--trusted-types-2.0.7,../data/repacked_xz_2500/@types__trusted-types--trusted-types-2.0.7.tar.xz,3020,10.220500000286847
@types__unist--unist-3.0.3,repacked,../data/unpacked_2500/@types__unist--unist-3.0.3,../data/repacked_xz_2500/@types__unist--unist-3.0.3.tar.xz,2636,8.579250003094785
@types__uuid--uuid-11.0.0,repacked,../data/unpacked_2500/@types__uuid--uuid-11.0.0,../data/repacked_xz_2500/@types__uuid--uuid-11.0.0.tar.xz,1220,6.9382079964270815
@types__validator--validator-13.15.10,repacked,../data/unpacked_2500/@types__validator--validator-13.15.10,../data/repacked_xz_2500/@types__validator--validator-13.15.10.tar.xz,16140,77.3228750040289
@types__ws--ws-8.18.1,repacked,../data/unpacked_2500/@types__ws--ws-8.18.1,../data/repacked_xz_2500/@types__ws--ws-8.18.1.tar.xz,5508,13.687667000340298
@types__yargs--yargs-17.0.35,repacked,../data/unpacked_2500/@types__yargs--yargs-17.0.35,../data/repacked_xz_2500/@types__yargs--yargs-17.0.35.tar.xz,13484,19.964166000136174
@types__yargs-parser--yargs-parser-21.0.3,repacked,../data/unpacked_2500/@types__yargs-parser--yargs-parser-21.0.3,../data/repacked_xz_2500/@types__yargs-parser--yargs-parser-21.0.3.tar.xz,3308,9.852415998466313
@typescript-eslint__eslint-plugin--eslint-plugin-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__eslint-plugin--eslint-plugin-8.59.4,../data/repacked_xz_2500/@typescript-eslint__eslint-plugin--eslint-plugin-8.59.4.tar.xz,239448,557.6762499986216
@typescript-eslint__experimental-utils--experimental-utils-5.62.0,repacked,../data/unpacked_2500/@typescript-eslint__experimental-utils--experimental-utils-5.62.0,../data/repacked_xz_2500/@typescript-eslint__experimental-utils--experimental-utils-5.62.0.tar.xz,2916,12.38066700170748
