__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_23_repetition_26,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,165.19,19.64,2.58686944
run_37_repetition_3,DONE,xz,xz/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.xz,178.78,21.39,2.794345938
run_36_repetition_9,DONE,xz,xz/@esbuild__win32-x64--win32-x64-0.28.0.tar.xz,23.54,2.8,0.363493761
run_7_repetition_5,DONE,npm,npm/@next__swc-linux-arm64-gnu--swc-linux-arm64-gnu-16.2.6.tgz,70.85,8.49,1.103889022
run_16_repetition_27,DONE,npm,npm/@esbuild__linux-x64--linux-x64-0.28.0.tgz,7.76,0.93,0.12065936
run_25_repetition_20,DONE,xz,xz/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tar.xz,116.27,13.9,1.821270638
run_12_repetition_5,DONE,npm,npm/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tgz,70.07,8.43,1.094267428
run_69_repetition_9,DONE,zstd,zstd/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.zst,31.53,3.73,0.473973122
run_36_repetition_7,DONE,xz,xz/@esbuild__win32-x64--win32-x64-0.28.0.tar.xz,23.19,2.76,0.363841206
run_23_repetition_14,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,165.53,19.81,2.589298417
run_83_repetition_10,DONE,zstd,zstd/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.zst,3.17,0.38,0.048122674
run_86_repetition_27,DONE,brotli,brotli/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.br,41.03,4.97,0.638824427
run_94_repetition_19,DONE,brotli,brotli/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.br,44.91,5.42,0.69770273
run_44_repetition_2,DONE,zopfli,zopfli/@esbuild__win32-ia32--win32-ia32-0.28.0.tgz,7.81,0.93,0.122430653
run_15_repetition_13,DONE,npm,npm/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tgz,76.01,9.05,1.18307973
run_23_repetition_8,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,165.26,19.73,2.589073891
run_34_repetition_20,DONE,xz,xz/@esbuild__freebsd-x64--freebsd-x64-0.28.0.tar.xz,23.14,2.74,0.361734661
run_50_repetition_1,DONE,zopfli,zopfli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tgz,78.21,9.44,1.230868313
run_80_repetition_14,DONE,zstd,zstd/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.zst,26.46,3.1,0.397321605
